,Sentences,Epoch-10
0,"My goodness, everyone's on their game today.",3.958714008331299
1,"- I know that, Sylvie.",5.313168048858643
2,"They're the 30 entrepreneurs who are doing things that are cool, trendy, hot.",4.698193550109863
3,You should've asked me first.,2.1551971435546875
4,Everything you ever told me was a lie.,2.126758098602295
5,Are you making fun of us?,2.052936553955078
6,Maybe you should tell her.,2.2686142921447754
7,"Squirrel, Squirrel, Squirrel, where the fuck are your nuts?",4.655829906463623
8,"Dad, this place has literally zero stars on Yelp.",5.284592628479004
9,Don't fucking walk away from me.,1.9730167388916016
10,"He drove to the basket and the referee called a foul, and Magic threw the ball up to the top of the arena and was screaming about,",4.999149799346924
11,"After you and me talked, I searched that idiot Steve out... to rebuke him and smack him in the face for being who he was.",4.620447635650635
12,"Okay, one second, let me just...",2.878411293029785
13,I don't give a shit if he was trying to melt his balls together.,3.369145631790161
14,There were five of us.,2.395613193511963
15,- I'll give you a call about this.,3.73633074760437
16,Why did you let me lie to you?,2.142421007156372
17,That's not what we agreed on.,1.4741908311843872
18,"As soon as I said that, she ran.",3.298356533050537
19,"Yeah, well, if you think that's a surprise, try this.",2.6959445476531982
20,I've heard much about you.,2.634960889816284
21,Just as it is his will who shall win.,5.171512126922607
22,Hate is a burden.,4.739315986633301
23,"We have to fight against the lack of opportunities, jobs, and basic services, such as health care and education.",4.113897323608398
24,It also has messaging and mobile banking functions.,7.049187660217285
25,I used it already.,4.681739330291748
26,"Without your source, it reads like random murders.",4.9542951583862305
27,The tall one.,4.664474964141846
28,You're the real deal.,2.768404483795166
29,I should be sitting at a desk.,3.917999744415283
30,It's just a game!,2.6083500385284424
31,[Park Min-young] He boasts about his 95-percent conviction rate.,4.65471076965332
32,"You know the saying,",3.8237390518188477
33,-Nothing's the matter.,4.417017936706543
34,"They dedicated their lives to the Silo, like we all do every day.",3.561152219772339
35,"Hey, where is my wife?",2.2330427169799805
36,"Hey, it's my favorite member of the bureau.",3.298945188522339
37,Visiting hours ends at nine.,6.819762229919434
38,Are you certain the entire party was not simply eyeing a tear in her dress?,5.584298610687256
39,Results are still coming back the same.,5.161256790161133
40,We have to get down to the tree line.,2.6737239360809326
41,"God, I feel so good.",2.4535601139068604
42,Come back for it.,3.296623945236206
43,"For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.",3.267730712890625
44,We are card counters at the blackjack table and we're gonna turn the odds on the casino.,4.766229629516602
45,Who's counting anymore?,5.741841793060303
46,I thought I could try to analyze you and get to the root of your anxiety.,3.7208786010742188
47,[Maan exhales] I'm exhausted.,4.855169296264648
48,"-Do you need us with you, Chief?",4.065648555755615
49,To do this.,3.081441879272461
50,Lots of railings and ramps if safety is your thing.,6.262707233428955
51,Everyone from B school has stuff locked in too.,6.6910176277160645
52,But... shake it off.,4.186647415161133
53,♪ What's up next you won't believe ♪,4.9887237548828125
54,- And a matching hat.,7.528475761413574
55,"Hawk-2, abort mission and return back to base at once!",4.896209716796875
56,"Okay, okay, well, I mean, I was gonna try the vault door, but there's... there's lasers crossing in front of it on this side.",3.508143424987793
57,I'm in a very big house with someone who says she's your friend.,3.1726889610290527
58,"To think, one day, I shall die, too.",3.3514792919158936
59,Is it even worth owning when it's fake?,4.411916732788086
60,"But he knew labor can only earn you a livelihood, not a life.",5.222229957580566
61,- Fuckin' Mondays.,6.9719767570495605
62,You... you are depressed.,4.2951765060424805
63,What 'old friend'?,8.38577938079834
64,Why did I agree with your plan?,3.3237032890319824
65,Why is it my fault?,2.13627290725708
66,Have a nice walk!,3.8090527057647705
67,"I must warn you, though.",3.2143611907958984
68,"Hey, hey, I found a review.",3.608023166656494
69,"This summer, when you're out grilling with the family, there's only one sauce that has the sweetness and the spiceness that everyone loves.",4.418200969696045
70,Help with Automake manager and persistent class store,9.412639617919922
71,"Yeah, to killing it.",4.622541904449463
72,"No, you can't be.",2.063598394393921
73,You heard the woman.,3.914382219314575
74,"One of them coyotes, he made love to my skull.",4.912112712860107
75,"You agree, yeah?",4.474946022033691
76,"Brothers, I don't regard myself as yet having taken hold, but one thing I do. Forgetting the things which are behind, and stretching forward to the things which are before,",4.304574966430664
77,I know what it looks like when people don't see you.,2.4787180423736572
78,TOP PLAYERS FISH TANK MANAGER,7.53038215637207
79,"People that travel, they have a broader worldview.",5.139991760253906
80,It does have to be in the dictionary!,4.306989669799805
81,"Francis Bacon, 1st Viscount St Albans",5.612379550933838
82,"Yeah, but, what about him, will he?",3.447216749191284
83,"Like, I can't even post an Instagram picture without ticking someone off.",4.8883161544799805
84,We'll never find them.,2.4183850288391113
85,"Who, who, who might know about it?",3.53895902633667
86,"- Midge, I've got it covered.",3.9867796897888184
87,"It was lives, arms, legs.",5.023397922515869
88,"Oh, so now you speak French.",3.1333916187286377
89,-There's no signal.,3.882535934448242
90,Otherwise... everything will go to hell.,3.4998245239257812
91,"That's a relief, because I was looking at your accounts.",3.017610788345337
92,"♪ Nine o'clock, I write a lyric or two ♪",4.644827365875244
93,"In 1998, I lost my reputation and my dignity.",3.6905159950256348
94,Do you like attacking your own kind?,4.380312919616699
