,Sentences,Epoch-10
0,"Meillä on nyt 4 kuukauden ikäisiä hiiriä, jotka olivat ennen diabeetikkoja, mutta eivät ole enää, hän lisäsi.",113.64631652832031
1,"Tohtori Ehud Ur, Dalhousien yliopiston lääketieteen professori Nova Scotian Halifaxissa ja Kanadan diabetesliiton kliinisen ja tiedeosaston puheenjohtaja, varoitti, että tutkimus on vasta varhaisessa vaiheessa.",291.2483825683594
2,"Eräiden muiden asiantuntijoiden tapaan hän suhtautuu epäilyksellä siihen, voidaanko diabetes parantaa. Hän huomauttaa, että näillä löydöksillä ei ole merkitystä ihmisille, joilla on jo 1-tyypin diabetes.",217.0629119873047
3,"Maanantaina Ruotsin akatemian Nobelin kirjallisuuskomitean vakituinen sihteeri Sara Danius ilmoitti julkisesti Ruotsin radion ohjelmassa, että komitea, joka ei pystynyt tavoittamaan Bob Dylania vuoden 2016 kirjallisuuspalkinnon voittamisen tiimoilta, oli luopunut yrityksistään tavoittaa hänet.",325.2701416015625
4,"Danius sanoi: ""Juuri nyt emme tee mitään. Olen soittanut ja lähettänyt sähköposteja hänen lähimmälle yhteistyökumppanilleen ja saanut hyvin ystävällisiä vastauksia. Tällä hetkellä se riittää hyvin.""",181.854736328125
5,"Aikaisemmin Ring-yhtiön toimitusjohtaja Jamie Siminoff huomautti yhtiön aloittaneen siksi, ettei hänen myymälänsä ovikelloa pystynyt kuulemaan autotalliin saakka.",194.777587890625
6,Hän sanoi rakentaneensa Wi-Fi-ovikellon.,60.05303192138672
7,"Siminoff sanoi, että myynti kasvoi hänen esiinnyttyään vuonna 2013 Leijonanluola (Shark Tank) -ohjelmassa, vaikka tuomaristo hylkäsi hänen startupinsa rahoittamisen.",254.64004516601562
8,Vuoden 2017 lopulla Siminoff esiintyi QVC-ostostelevisiokanavalla.,122.3947525024414
9,"Ring myös sopi kanteen ADT Corporationin, kilpailevan turvallisuusyrityksen, kanssa.",126.22572326660156
10,"Vaikka eräs kokeellinen rokote tuntuukin voivan vähentää ebolan kuolleisuusastetta, tähän mennessä minkään lääkkeen ei ole osoitettu selvästi soveltuvan jo saadun tartunnan hoitamiseen.",230.9725799560547
11,"Yksi vasta-ainesekoitus, ZMapp, vaikutti ensi alkuun lupaavalta kentällä, mutta viralliset tutkimukset osoittivat, ettei se auttanut ehkäisemään kuolemantapauksia toivotussa määrin.",226.8824005126953
12,"PALM-kokeessa ZMappia käytettiin verrokkina, eli tieteilijät vertasivat sitä kolmeen muuhun hoitomuotoon.",158.16290283203125
13,Yhdysvaltain voimisteluliitto tukee Yhdysvaltain olympiakomitean kirjettä ja hyväksyy olympiaperheen vastaansanomattoman tarpeen edistää turvallista ympäristöä kaikille urheilijoillemme.,202.6862030029297
14,"Olemme samaa mieltä Yhdysvaltojen olympiakomitean lausunnon kanssa siitä, että urheilijoidemme, joukkueidemme ja heidän urheilulajiensa edun kannalta olisi parempi edetä järjestön sisäisen, mielekkään muutoksen kautta kuin menettämällä asemamme lajiliittona.",284.7724914550781
15,"Yhdysvaltain voimisteluliitto tukee yksityistä tutkimusta, joka voi auttaa ymmärtämään, kuinka niin räikeä väärinkäyttö kuin se, josta Larry Nassarin uhrit ovat rohkeasti kertoneet, on voinut jäädä huomaamatta niin pitkään. Liitto myös toivottaa tervetulleiksi kaikki tarvittavat muutokset.",281.0705261230469
16,"Yhdysvaltain voimisteluliitolla ja Yhdysvaltojen olympiakomitealla on sama tavoite – voimistelun ja muun urheilun tekeminen mahdollisimman turvalliseksi, jotta urheilijat voivat tavoitella unelmiaan turvallisessa, positiivisessa ja voimaannuttavassa ympäristössä.",246.593017578125
17,Brzezinski työskenteli 1960-luvun ajan ensin John F. Kennedyn neuvonantajana ja sen jälkeen Lyndon B. Johnsonin hallinnossa.,160.6871337890625
18,Vuoden 1976 vaaleissa hän toimi Carterin ulkopolitiikan neuvonantajana ja seurasi sen jälkeen Henry Kissingeriä kansallisen turvallisuuden neuvonantajana (NSA) vuodesta 1977 vuoteen 1981.,228.06100463867188
19,"Hän avusti kansallisen turvallisuuden neuvonantajana Carteria maailman asioiden hoitamisessa diplomaattisesti, esimerkiksi Camp Davidin rauhassa vuonna 1978, Yhdysvaltojen ja Kiinan suhteiden normalisoinnissa 1970-luvun lopulla, vuoden 1979 panttivankikriisiin johtaneen Iranin vallankumouksen käsittelyssä ja Neuvostoliiton hyökättyä Afganistaniin vuonna 1979.",364.966552734375
20,"Elokuva, jonka pääosissa ovat Ryan Gosling ja Emma Stone, sai ehdokkuuksia kaikissa tärkeimmissä palkintoluokissa.",157.97955322265625
21,Gosling ja Stone olivat ehdolla parhaasta miespääosasta ja parhaasta naispääosasta.,121.3055419921875
22,"Muita ehdokkuuksia olivat muun muassa: paras elokuva, ohjaus, kuvaus, puvustus, leikkaus, musiikki, lavastus, äänitehosteet, äänitys ja paras alkuperäinen käsikirjoitus.",220.72438049316406
23,"Elokuvan lauluista kaksi, Audition (The Fools Who Dream) ja City of Stars, oli ehdolla parhaasta alkuperäisestä musiikkikappaleesta. Lionsgate-studio sai 26 ehdokkuutta – enemmän kuin mikään muu studio.",324.383544921875
24,"Myöhään sunnuntaina Yhdysvaltojen presidentti Donald Trump ilmoitti lehdistösihteerinsä välityksellä antamallaan lausunnolla, että Yhdysvaltojen joukot poistuvat Syyriasta.",181.28219604492188
25,Ilmoitus annettiin Trumpin keskusteltua ensin puhelimessa Turkin presidentin Recep Tayyip Erdoğanin kanssa.,174.68951416015625
26,"Lisäksi Turkki ryhtyi vartioimaan vangittuja Isis-taistelijoita, joita Euroopan maat ovat lausunnon mukaan kieltäytyneet palauttamasta kotimaihinsa.",177.04379272460938
27,"Tämä vahvistaa jo entuudestaan laajalle levinneen teorian, jonka mukaan ainakin joillain dinosauruksilla oli höyheniä, mutta lisäksi saatiin tietoja, joita fossiileista ei yleensä löydy, esimerkiksi väristä ja kolmiulotteisesta rakenteesta.",259.46929931640625
28,Eläimen höyhenpeite oli tutkijoiden mukaan päältä kastanjanruskea ja alta vaalea tai karotenoidinvärinen.,161.65464782714844
29,Lisäksi löytö auttaa ymmärtämään lintujen sulkien evoluutiota.,72.55583190917969
30,"Koska dinosauruksen höyhenissä ei ole hyvin kehittynyttä ruodiksi kutsuttua vartta, mutta niillä on muita höyhenten ominaisuuksia – kuten väkäsiä ja höytysäteitä – tutkijat päättelivät, että ruoti on todennäköisesti näitä muita ominaisuuksia myöhäisempi evoluution kehitysvaihe.",346.05352783203125
31,"Sulkien rakenne viittaa siihen, että niitä ei käytetty lentämiseen vaan lämmönsäätelyyn tai soidinmenoihin. Vaikka kyseessä olikin nuoren dinosauruksen häntä, tutkijat esittivät näytteen olevan peräisin aikuisen yksilön höyhenpuvusta eikä poikasen untuvista.",298.5077209472656
32,"Vaikka kyseessä olikin nuoren dinosauruksen häntä, tutkijat esittivät näytteen olevan peräisin aikuisen yksilön höyhenpuvusta eikä poikasen untuvista.",182.02218627929688
33,Autopommi räjähti eilen aamulla Gaziantepin pääpoliisiasemalla Turkissa surmaten kaksi poliisia ja haavoittaen yli kahtakymmentä ihmistä.,180.02230834960938
34,"Maakunnan kuvernöörin toimistosta ilmoitettiin, että loukkaantuneista yhdeksäntoista oli poliiseja.",84.42095947265625
35,"Poliisi sanoi epäilevänsä, että hyökkäyksen takana olisi joku Daeshin (Isil) taistelija.",108.46131134033203
36,"Heille selvisi, että Aurinko noudattaa samoja perusperiaatteita kuin muutkin tähdet: kaikkien heidän järjestelmänsä tähtien aktiivisuuden todettiin johtuvan luminositeetista ja pyörimis- ja kiertoliikkeestä, ei mistään muusta.",252.7567138671875
37,"Luminositeettia ja pyörimisliikettä käytetään yhdessä määrittämään tähden Rossbyn luku, joka liittyy plasmavirtaukseen.",177.4732666015625
38,"Mitä pienempi Rossbyn luku, sitä harvemmin tähdessä tapahtuu napaisuuskäännöksiä.",128.99879455566406
39,Iwasaki kohtasi moneen otteeseen vaikeuksia matkansa aikana.,78.15548706054688
40,"Merirosvot ryöstivät hänet, hänen kimppuunsa hyökkäsi vesikauhuinen koira Tiibetissä, hän oli vähällä joutua naimisiin Nepalissa, ja hänet pidätettiin Intiassa.",164.7333984375
41,"802.11n-standardi toimii sekä 2,4 gigahertsin että 5,0 gigahertsin taajuudella.",161.9999542236328
