,Sentences,Epoch-10
0,Welsh AMs worried about 'looking like muppets',237.49676513671875
1,There is consternation among some AMs at a suggestion their title should change to MWPs (Member of the Welsh Parliament).,593.135009765625
2,It has arisen because of plans to change the name of the assembly to the Welsh Parliament.,453.64263916015625
3,AMs across the political spectrum are worried it could invite ridicule.,408.786865234375
4,"One Labour AM said his group was concerned ""it rhymes with Twp and Pwp.""",361.5584716796875
5,For readers outside of Wales: In Welsh twp means daft and pwp means poo.,356.2057800292969
6,"A Plaid AM said the group as a whole was ""not happy"" and has suggested alternatives.",401.38336181640625
7,"A Welsh Conservative said his group was ""open minded"" about the name change, but noted it was a short verbal hop from MWP to Muppet.",641.820556640625
8,In this context The Welsh letter w is pronounced similarly to the Yorkshire English pronunciation of the letter u.,607.0693359375
9,"The Assembly Commission, which is currently drafting legislation to introduce the name changes, said: ""The final decision on any descriptors of what Assembly Members are called will of course be a matter for the members themselves.""",662.778076171875
10,The Government of Wales Act 2017 gave the Welsh assembly the power to change its name.,444.1340637207031
11,"In June, the Commission published the results of a public consultation on the proposals which found broad support for calling the assembly a Welsh Parliament.",739.9371337890625
12,"On the matter of the AMs' title, the Commission favoured Welsh Parliament Members or WMPs, but the MWP option received the most support in a public consultation.",704.6109619140625
13,"AMs are apparently suggesting alternative options, but the struggle to reach consensus could be a headache for the Presiding Officer, Elin Jones, who is expected to submit draft legislation on the changes within weeks.",733.1680908203125
14,"The legislation on the reforms will include other changes to the way the assembly works, including rules on disqualification of AMs and the design of the committee system.",736.133056640625
15,AMs will get the final vote on the question of what they should be called when they debate the legislation.,538.7110595703125
16,Macedonians go to polls in referendum on changing country's name,335.5035095214844
17,"Voters will vote Sunday on whether to change their country's name to the ""Republic of North Macedonia.""",541.588134765625
18,"The popular vote was set up in a bid to resolve a decades-long dispute with neighboring Greece, which has its own province called Macedonia.",705.4950561523438
19,Athens has long insisted that its northern neighbor's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.,733.7327270507812
20,"Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.",629.2801513671875
21,"However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.",749.395263671875
22,The Bells of St. Martin's Fall Silent as Churches in Harlem Struggle,363.6710205078125
23,"""Historically, the old people I've talked to say there was a bar and a church on every corner,"" Mr. Adams said.",542.7492065429688
24,"""Today, there's neither.""",150.46995544433594
25,He said the disappearance of bars was understandable.,281.054931640625
26,"""People socialize in a different way"" nowadays, he said.",267.854248046875
27,"""Bars are no longer neighborhood living rooms where people go on a regular basis.""",434.73883056640625
28,"As for churches, he worries that the money from selling assets will not last as long as leaders expect it to, ""and sooner or later they'll be right back where they started.""",689.97509765625
29,"Churches, he added, could be replaced by apartment buildings with condominiums filled with the kind of people who will not help the neighborhood's remaining sanctuaries.",749.29736328125
30,"""The overwhelming majority of people who buy condominiums in these buildings will be white,"" he said, ""and therefore will hasten the day that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches.""",720.6259155273438
31,"Both churches were built by white congregations before Harlem became a black metropolis - Metropolitan Community in 1870, St. Martin's a decade later.",719.0487060546875
32,The original white Methodist congregation moved out in the 1930s.,356.292724609375
33,A black congregation that had been worshiping nearby took title to the building.,421.1181335449219
34,"St. Martin's was taken over by a black congregation under the Rev. John Howard Johnson, who led a boycott of retailers on 125th Street, a main street for shopping in Harlem, who resisted hiring or promoting blacks.",725.4158935546875
35,"A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.",727.5773315429688
36,"The Rev. David Johnson, Father Johnson's son and successor at St. Martin's, proudly called the carillon ""the poor people's bells.""",716.256591796875
37,"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument.""",763.0401611328125
38,"The expert, Tiffany Ng of the University of Michigan, also noted that it was the first carillon in the world to be played by a black musician, Dionisio A. Lind, who moved to the larger carillon at the Riverside Church 18 years ago.",720.8468017578125
39,Mr. Merriweather said that St. Martin's did not replace him.,311.4441833496094
40,"What has played out at St. Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.",725.3319091796875
41,"The vestry - the parish's governing body, made up of lay leaders - wrote the diocese in July with concerns that the diocese ""would seek to pass along the costs"" to the vestry, even though the vestry had not been involved in hiring the architects and contractors the diocese sent in.",714.2113647460938
42,Some parishioners complained of a lack of transparency on the diocese's part.,388.212890625
43,Shark injures 13-year-old on lobster dive in California,312.06707763671875
44,"A shark attacked and injured a 13-year-old boy Saturday while he was diving for lobster in California on the opening day of lobster season, officials said.",717.3790893554688
