,Sentences,Epoch-10
0,Kaikki ovat tänään niin hyvässä vedossa.,0.26383911170091173
1,-Tiedän sen.,0.4445638331741484
2,"30 yrittäjästä, jotka tekevät jotain siistiä, muodikasta ja seksikästä.",0.3128687107580419
3,Olisit kysynyt minulta ensin.,0.5459558823529411
4,Valehtelit alusta asti.,0.6669970267591675
5,Pidätkö meitä pilkkanasi?,0.5071142792742027
6,Ehkä teidän pitäisi kertoa hänelle.,0.5203030303030303
7,Missä pähkinäsi ovat?,0.5250177355278093
8,"REDAMAKIN ""PURE LEGENDAA"" Isä, tällä paikalla on nolla tähteä Yelpissä.",0.28185276677849497
9,Älä vittu kävele luotani.,0.2556041506622902
10,Magic heitti pallon katsomoon - ja huuteli: -,0.23561444627061692
11,"Keskustelumme jälkeen hain käsiini sen idiootin, Steven. Kuritin ja löin häntä päin näköä siitä hyvästä, että hän on kuka on.",0.30056587736253443
12,Hetki vain...,0.26666666666666666
13,Sulattakoon vaikka pallinsa.,0.41824308272800065
14,Meitä oli viisi.,0.44047619047619047
15,Palaan asiaan.,0.5294117647058824
16,Miksi annoit minun valehdella?,0.3216575091575092
17,Ei me sovittu niin.,0.14734702234702235
18,Sen sanottuani hän juoksi pois.,0.39387679432173317
19,"No, jos tuo oli yllätys, niin mietipä tätä.",0.43776821035993974
20,Olen kuullut sinusta paljon.,0.7708333333333333
21,"Hän päättää myös, kuka voittaa.",0.403393665158371
22,Viha on taakka.,0.33402979062409954
23,"Meidän pitää taistella mahdollisuuksien, työpaikkojen - ja terveys- ja koulutuspalveluiden puutetta vastaan.",0.2950005229992393
24,Siinä on myös viesti- ja mobiilipankkitoiminnot.,0.26183132466389436
25,Käytin sen jo.,0.5
26,Ilman lähdettäsi murhat näyttävät satunnaisilta.,0.15674638421457912
27,Sen pitkän.,0.05022967386311438
28,Olet aito asia.,0.3348394333534987
29,Minun pitäisi istua pöydän vieressä.,0.30430391694195374
30,Se on vain peli.,0.6284246575342466
31,Hän ylpeilee 95 prosentin tuomioprosentillaan.,0.24458785081831053
32,Kuten sanotaan:,0.18137254901960784
33,Mikä sinua riivaa? -Ei mikään.,0.6247619047619047
34,He omistivat elämänsä Siilolle kuten me teemme joka päivä.,0.3743104706139124
35,"Hei, missä vaimoni on?",0.6105072463768116
36,FBI-suosikkinihan siinä.,0.380129446654645
37,Vierailuaika loppui jo.,0.31555555555555553
38,Eivätkö kaikki katsoneet repeämää mekossaan?,0.29062436677558595
39,Tulokset ovat edelleen samat.,0.40393129208736067
40,Laskeudutaan puurajalle.,0.31188234191256886
41,Tulipa hyvä olo.,0.38125
42,Hae se myöhemmin.,0.6711711711711712
43,"vaan heti kun eräs vaimo, jonka pienessä tyttäressä oli saastainen henki, kuuli hänestä, tuli hän ja lankesi hänen jalkojensa juureen.",0.3688179858115135
44,Olemme kortinlaskijoita Black Jack -pöydässä ja käännämme todennäköisyydet kasinoa vastaan.,0.26974421748941335
45,En laske enää.,0.4006680026720107
46,Leonard? Voisin yrittää analysoida sinua ja päästä pelkosi lähteille.,0.11429909466568364
47,Olen naatti.,0.33447793485155225
48,-Tulemmeko mukaan?,0.38544033866742416
49,Tee se näin.,0.6851851851851851
50,"Paljon kaiteita ja ramppeja, jos pitää turvallisuudesta.",0.38946415713347143
51,-Bisneskoulussa tehdään samoin.,0.1514175358326339
52,Yritä nyt kuitenkin relata.,0.4254633476716525
53,Nyt mä teille paljastan,0.0030403852007279183
54,- Ja lakin.,0.3333584345515808
55,"Haukka-2, keskeyttäkää tehtävä ja palatkaa tukikohtaan.",0.20491237271753865
56,"Olin kokeilemassa ovea, mutta siinä on - lasersäteitä tällä puolella.",0.2952863490287254
57,"Olen suuressa talossa ja täällä on joku, joka sanoo olevansa ystäväsi.",0.2840067867103669
58,Jonain päivänä minäkin kuolen.,0.18878807002301026
59,Onko feikkiaseella mitään arvoa?,0.23270051820752702
60,"Mutta hän tiesi, että työllä voi ansaita vain toimeentulon, ei elämää.",0.4648222035263812
61,Vitun maanantait. - Niinpä.,0.3678499195771129
62,Sinä... Olet masentunut.,0.32840495520716684
63,Kuka vanha ystävä?,0.4449004407964736
64,Miksi suostuin suunnitelmaanne?,0.3130698405569279
65,Miksi se on syytäni?,0.5516891891891892
66,Mukavaa kävelyretkeä.,0.20997038554022138
67,Varoitan kuitenkin.,0.42094017094017094
68,Löysin arvostelun.,0.6668103448275863
69,"Tänä kesänä, kun olet grillaamassa perheen kanssa, on vain yksi kastike, jossa on makeutta ja aromisuutta, -joista kaikki pitävät. Miss...",0.34357939142614974
70,Avustanut Automake- managerissa ja persistenttiluokkasäilön kanssa,0.09932066588195369
71,Pärjäämiselle.,0.16679082857379354
72,Ei voi olla...,0.37696969696969695
73,Hommiin.,0.5013404825737265
74,Yksi niistä kojooteista nai kalloani.,0.15943622665683943
75,Eikö vain?,0.5185185185185185
76,"Veljet, minä en vielä katso sitä voittaneeni; mutta yhden minä teen: unhottaen sen, mikä on takana, ja kurottautuen sitä kohti, mikä on edessäpäin,",0.37373091776255096
77,"Tiedän, mitä on olla näkymätön.",0.4498456790123457
78,HUIPPUPELAAJAT FISH TANK MANAGER,0.07057214935703059
79,Matkustavilla ihmisillä on laajempi maailmankuva.,0.3788987999062522
80,Täytyypäs olla!,0.2780022446689114
81,Baconilainen metodi,0.0029457007706456067
82,- Entä Assange?,0.2214258847975231
83,En voi edes postata Instagramiin loukkaamatta.,0.4123105407591707
84,Emme löydä heitä ikinä.,0.35694444444444445
85,Kuka voisi tietää siitä?,0.36174242424242425
86,-Asia on hoidossa.,0.5063162954123575
87,"Elämiä, käsiä ja jalkoja.",0.4354867977328502
88,Nyt siis puhut ranskaa.,0.26908577026079766
89,-Täällä ei ole kenttää.,0.515431541710284
90,Muuten - kaikesta tulee helvettiä.,0.41295665382477525
91,"Hyvä, koska katsoin kirjanpitoasi.",0.3158155171362418
92,"Kello on 21, kirjoitan säkeen tai pari",0.2676619491612101
93,Vuonna 1998 menetin maineeni ja arvokkuuteni.,0.18258682702235343
94,Onko mukavaa hyökätä omiesi kimppuun?,0.3015073603782845
95,Haluan voittaa hänet.,0.39409722222222227
96,"No, Sam on kunnossa.",0.44595316986967076
97,- Pää kiinni.,0.6666929092531358
98,Miksi horjuttaisivat?,0.10317614220615504
99,"Daniel, mitä tekisit, jos annamme 20 dollaria?",0.43903558722159036
100,"Luulin, että sinun piti saada hänestä feikki kuva Azabussa.",0.27929532274538355
101,Hän tekee palleistasi korvakorut.,0.24027487449851087
102,Sen maksa laajenee kahdeksankertaiseksi.,0.2034716206526676
103,Terve epäily... Se johti hermoromahdukseen.,0.421804889821239
104,Meille tulee vauva!,0.3351749539594843
105,Jos jäämme kiinni...,0.5032362459546925
106,Onko tuttu ystäväin María?,0.20400795409261815
107,Oikeusistuimet kokoontuvat!,0.02518731848782866
108,"Niiden peräpäässä olevat koukut kiinnittävät ne kiviin, mutta joskus virtaa ei voi vastustaa.",0.27461817518650333
109,Ehkä se tarttui minuunkin.,0.5003851534490844
110,Koska me otamme rasvaa pyllystä ja laitamme sen poskiin.,0.2684486166331012
111,Et voi luvata sitä.,0.6277472527472527
112,"-Mitä helvettiä, Dot?",0.2509687476416874
113,"Et ymmärrä, Michelle.",0.4004340277777778
114,Mutta itäeurooppalaisille tämä yhtäkkinen valinnanvara tuotteissa oli ylitsevuotavaa.,0.0989027522895416
