,Sentences,Epoch-10
0,"Боже ж ты мой, всё сегодня просто в ударе.",5.243016719818115
1,- Я знаю.,6.096458435058594
2,"Они расскажут о 30 предпринимателях, которым еще нет 30ти.",5.703618049621582
3,Спросила бы сперва меня.,5.296640872955322
4,"- Всё, что ты мне говорил, это ложь.",3.3167529106140137
5,Издеваешься?,4.607900142669678
6,"Может, вам стоит ей это рассказать.",2.9219202995300293
7,"Белка, белка, белка! Ты где орешки потерял?",6.655468940734863
8,"Папа, у этого кафе нулевой рейтинг!",6.094025611877441
9,Не смей уходить.,3.793635129928589
10,"Он повел мяч к корзине, судья объявил фол, а Мэджик бросил мяч вверх к куполу зала и начал кричать:",6.5430755615234375
11,"После нашего разговора я разыскал этого идиота Стива, шоб отчитать его и зарядить ему в рыло за его же идиотизм.",6.187248706817627
12,Минутку.,6.9618988037109375
13,"Мне насрать, даже если он пытается сплавить свои яйца.",4.1931304931640625
14,Нас было пятеро.,4.9612250328063965
15,- Потом поговорим.,6.536143779754639
16,Почему позволила лгать тебе?,6.531748294830322
17,Мы так не договаривались.,2.0682997703552246
18,"Как только я это сказал, она побежала.",4.1679534912109375
19,Думаешь? Тогда попробуй это.,4.4548020362854
20,Я много о вас слышала.,3.1902217864990234
21,"Как и в его воле решать, кто победит.",5.005709648132324
22,Ненависть - это бремя.,4.279679775238037
23,"Мы должны бороться с отсутствием возможностей, работы надлежащей системы здравоохранения и образования.",4.950773239135742
24,Также есть сообщения и мобильный банк.,7.0400166511535645
25,Я его уже использовал.,4.956724643707275
26,Без твоего источника это не серия убийств.,6.3772759437561035
27,Высокий.,6.4386372566223145
28,Вы молодцы.,4.377017498016357
29,Мне следовало бы сидеть за письменным столом.,4.640384674072266
30,Это всего лишь игра!,3.381399393081665
31,Раскрыл 95% преступлений.,5.75335693359375
32,Как говорится:,5.239752769470215
33,- Да ни в чем.,5.693286895751953
34,"Жизни, что они посвятили Укрытию. Как мы посвящаем.",5.0936384201049805
35,"Я спрашиваю, где моя жена?",3.3018176555633545
36,"Эй, этой мой любимый работник бюро.",7.0641188621521
37,Посещения до девяти.,6.606706619262695
38,"Возможно, все смотрели на нее из-за прорехи в платье?",4.89188814163208
39,Результаты пока без изменений.,6.0858025550842285
40,Нужно спуститься до уровня леса.,5.868102550506592
41,"Боже, мне так хорошо.",2.72116756439209
42,Вернетесь за ней.,5.658780097961426
43,"Ибо услышала о Нем женщина, у которой дочь одержима была нечистым духом, и, придя, припала к ногам Его;",4.596293926239014
44,"Мы считаем карты, за блэкджеком. Чтобы выиграть у казино.",6.242690086364746
45,Со счету уже сбился.,8.064998626708984
46,"Я думал, что смогу попробовать анализировать тебя И добраться до истоков твоей тревоги",5.343380928039551
47,Я очень устал.,3.7617604732513428
48,"- Нам тоже ехать, шеф?",6.919248104095459
49,Сделать то же самое.,2.7257537841796875
50,Перила и рампы для любителей безопасности.,6.632311820983887
51,- В бизнес-школе то же самое.,4.106000900268555
52,Но ты забей.,5.560218334197998
53,Все теряют речи дар,11.513908386230469
54,— И такую же кепку.,6.242563724517822
55,"""Хоук-2"", отменить и вернуться на базу.",5.504833698272705
56,"Я хотел попробовать дверь в хранилище, но здесь с этой стороны перед ней лучи лазера.",5.8800740242004395
57,"Я в большом доме с женщиной, которая говорит, что она твой друг.",3.38309645652771
58,Однажды я тоже умру.,3.0602729320526123
59,"Какая в нём ценность, если он фальшивый?",4.5403151512146
60,"Но он знал, что физический труд позволяет выживать, но не жить.",4.519973278045654
61,Чёртовы понедельники.,6.255923748016357
62,Ты... У тебя депрессия.,4.716475963592529
63,Что еще за старый друг?,4.351099967956543
64,Почему я с вами согласилась?,3.8695626258850098
65,Я-то тут причём?,3.963852643966675
66,Удачной прогулки!,6.841070175170898
67,Я должен вас предупредить.,3.5318164825439453
68,Я нашел рецензию.,5.687748908996582
69,"Этим летом, когда у вас будет день гриля с семьёй, только один соус сочетает в себе сладость и остринку, которые любят все. - Мисс...",5.965191841125488
70,Помощь с диспетчером Automake и хранилищем информации о классах,5.9508585929870605
71,"Да, чтобы все было путем.",4.208440780639648
72,Этого не может быть.,3.813920497894287
73,Ты её слышал.,4.551859378814697
74,Один из койотов совокуплялся с моим черепом.,5.226435661315918
75,Согласна?,6.190811634063721
76,"Братия, я не почитаю себя достигшим; а только, забывая заднее и простираясь вперед,",6.260101795196533
77,"Я сразу вижу, когда люди тебя не видят.",4.228251934051514
78,"ЛУЧШИЕ ИГРОКИ ""МЕНЕДЖЕРА АКВАРИУМА""",5.25740909576416
79,"Люди, которые путешествуют, имеют более широкие взгляды.",3.582115888595581
80,Оно обязано быть в словаре!,5.1747307777404785
81,Шаблон: Фрэнсис Бэкон,8.66629695892334
82,"Да, а он? Он заменит?",5.4686737060546875
83,Любая моя фотка в Инстаграм кого-нибудь бесит.,6.207489013671875
84,Мы их не найдём.,3.0384116172790527
85,Кто может это знать?,3.40189790725708
86,"- Мидж, у меня есть средства. - Откуда?",4.968576908111572
87,"Ценой этому были жизни, руки, ноги и тд.",6.115850925445557
88,Так теперь ты говоришь по-французски.,2.9215502738952637
89,-Нет сигнала.,6.173492908477783
90,Иначе всё полетит к чертям.,5.589564800262451
91,Какое облегчение! Ведь я проверял ваши счета.,5.468114852905273
92,"Девять утра, я пишу пару текстов",5.119108200073242
93,В 1998 году я потеряла свою репутацию и чувство собственного достоинства.,4.85878324508667
94,Тебе нравится нападать на себе подобных?,6.2511467933654785
95,Хочу ее победить.,4.522734642028809
96,"Ну, Сэму лучше.",5.8389105796813965
97,Не смей открывать рот.,4.016719818115234
98,- Откуда?,9.235761642456055
99,"Дэниэл, что бы ты сделал, если бы мы дали тебе 20$?",3.3673527240753174
100,Ты же на днях фоткала ее фейковое появление в Адзабу.,6.3756937980651855
101,Она за это заживо сожрет.,6.353903293609619
102,Их печень увеличивается в восемь раз.,6.349964141845703
103,"Обоснованные сомнения, тяга к которым привела её к грёбаному срыву.",5.649653434753418
104,У нас будет ребёнок!,3.5649900436401367
105,Если кто-нибудь узнает...,2.44724702835083
106,Ты знакома с моей хорошей подругой Марией?,4.8982834815979
107,Суды будут созваны.,5.7399725914001465
108,"С помощью крючков на хвосте они закрепляются на камнях, но иногда противостоять потоку невозможно.",5.792242527008057
109,"Может, это прилипчиво.",5.699398994445801
110,Берем жир из попы и переносим его на щеки.,5.21681022644043
111,"Да, ты не можешь мне этого пообещать.",3.0871176719665527
112,"- Ну ты чего, Дот?",5.988913059234619
113,"Мишель, ты не понимаешь.",3.755628824234009
114,Но для жителей Восточной Европы внезапная доступность всех видов продуктов на рынке стала стихийным бедствием.,5.783755302429199
115,"Ты работаешь эксклюзивно с ""Миррорсофт"". Забыл свой контракт?",5.422750473022461
116,Я должен идти... Туда... Немедленно.,6.242384910583496
117,Иди за самой яркой звездой в небе на север до Харара.,5.263875961303711
118,Она попала в беду?,3.0716440677642822
119,"Знаешь, в чём проблема?",1.5346778631210327
120,- Это не ложь.,5.749057769775391
121,"Что ж, думаю, Управление приветствует решение проблемы с этой поистине трагической опиоидной эпидемией.",5.042216777801514
122,Я хорошая подруга.,4.690272331237793
123,"Она меня обвиняет в том, чего не могло быть.",3.2000327110290527
124,"Рядом со мной есть место, Тедди.",5.6660542488098145
125,"Я знаю, мы не заводим живых лебедей.",4.591052532196045
126,"Ведите себя как в Басре, Эль-Бурайке или в Дамаске.",6.209657669067383
127,Я училась медицине в Сорэвоне 20 лет тому назад.,4.56048583984375
128,Ты классно выглядишь!,4.410879135131836
129,Это не всерьез.,4.021956443786621
130,У нас должна быть жестянка в кладовой.,4.903226852416992
131,"Ребята, он сыграет ""Йа-йа, дин-дон""!",5.35573673248291
132,"Выбирать тебе: либо так, либо выйти и быть матерью своей дочери.",5.341373920440674
133,- Дети пошли в туалет?,6.1970672607421875
134,Последний раз я была в суде 13 лет назад.,4.073114395141602
135,Тогда она могла бы оплатить ваши судебные издержки.,5.196078300476074
136,- Считай.,9.107671737670898
137,Он мне много чего рассказал.,3.5894412994384766
138,Если ты отправишься туда... то мы с тобой... выживем.,3.8906660079956055
139,Шаблон: Герметизм,8.341137886047363
140,Мы перейдем от пяти к трем.,6.7227654457092285
141,"Я думаю, мне нужны пара лишних рук",5.3964762687683105
142,"Нет, но... ты отдал мне документы?",4.223548412322998
143,Нужно настроиться на ту же частоту.,4.379825115203857
144,"Малдер, что ты делаешь?",4.413940906524658
145,"Репортер Барби, задай мне любой вопрос.",5.899238109588623
146,"Вам, наверное, тяжело?",4.180208683013916
147,"Ладно, сейчас помоюсь.",3.99418568611145
148,"И рискну предположить, что это был ты.",3.8809993267059326
149,В этом районе ливни начинаются неожиданно.,6.272327423095703
150,Они невидимы.,4.164427757263184
151,"Стоун пришла, но не взяла её.",4.753813743591309
152,"Тем холодным вечером страсти разгорелись так, что температура грунта скакнула на 11 градусов. Уэсли уклонился от неприемлемого выбора, устранив вопрос без ответа.",6.141537666320801
153,Немного смешно.,6.64730978012085
154,"Всякий скот, у которого раздвоены копыта и на обоих копытах глубокий разрез, и который скот жует жвачку, тот ешьте;",5.203057289123535
155,"Ясно. Итак,",5.475100517272949
156,"Нет лидера значит никто не отдает приказы, тебя это в первую очередь касается.",5.497523784637451
157,Как ты не дал солдатам подраться из-за украденной посылки из дома.,4.9390692710876465
158,Летние Олимпийские игры 1912,5.256848335266113
159,"Ты была права, это потрясающий узел.",4.701265811920166
160,Нет. Я совсем не в порядке.,2.6377174854278564
