,Sentences,Epoch-10
0,"Coś takiego, wszyscy są dziś w formie.",78.44746318918699
1,"- Wiem, Sylvie.",524.7576789335209
2,Trzydziestu przedsiębiorców prowadzących biznesy na topie.,254.46325308975398
3,Trzeba było mnie najpierw zapytać.,160.3251959834172
4,"Wszystko, co mi mówiłeś, było kłamstwem.",13.8443900001442
5,Żartów się panu zachciało?,154.30223591583652
6,Może powinna jej pani powiedzieć.,45.12099365970341
7,"Wiewióra, gdzie masz orzeszki?",125.50301096801283
8,"Tato, to miejsce ma fatalne recenzje.",74.08990253354031
9,Nie ważcie się odchodzić.,39.760206416379596
10,"Wszedł pod kosz, a sędzia odgwizdał faul. Magic wyrzucił piłkę na samą górę trybun i krzyczał:",375.7847815878035
11,"- Po naszej rozmowie odszukałem tego idiotę Steve'a, by go upomnieć i dać po twarzy za to, kim jest.",155.626385788515
12,Chwileczkę.,16.692965798790908
13,"/Gdyby chciał sobie stopić jaja, również miałbym to gdzieś.",223.957349846701
14,Było nas pięć.,104.46129139813982
15,Odezwę się.,55.162347450258565
16,Czemu pozwoliłaś mi kłamać?,51.71126303671711
17,Nie tak się umawialiśmy.,15.598477437408631
18,"Gdy tylko to usłyszała, uciekła.",97.73461941053824
19,"Jeśli to była niespodzianka, mam lepszą.",160.6674407342629
20,- Słyszałem o tobie.,74.14263188554361
21,"Allacha wolą jest to, kto ma wygrać ten wyścig.",365.7788945044679
22,Nienawiść jest brzemieniem.,162.79847470841526
23,"Musimy walczyć z brakiem możliwości, pracy i podstawowych dóbr, takich jak opieka zdrowotna i edukacja.",80.31981630214909
24,Ma też komunikator i funkcje mobilnego banku.,367.64115980328893
25,Już go używałem.,60.74994785749626
26,Bez źródła morderstwa wyjdą na przypadkowe.,2540.3166601856838
27,Tę wysoką.,719.6530400181966
28,Jesteś gość.,310.299173281754
29,Moje miejsce jest za biurkiem.,76.60363305567716
30,To tylko gra.,33.18487728876507
31,Wsadza za kratki 95% oskarżonych.,401.7023239351737
32,Jak to mówią:,51.07791602014444
33,- Nic się nie stało.,29.51431901629843
34,"Poświęcali swoje życie Silosowi, tak jak my wszyscy robimy to każdego dnia.",85.35282572691489
35,"Hej, gdzie jest moja żona?",8.179473847224115
36,Mój ulubiony agent FBI.,153.69033493866567
37,Już po dziewiątej.,41.7989730421282
38,Może miała dziurę w sukience i stąd te spojrzenia.,331.60645166599596
39,Wyniki wciąż takie same.,280.62296445347226
40,Zejdźmy do linii lasu.,192.0935957023316
41,Czuję się tak dobrze.,83.5703060958097
42,Wrócisz po niego.,144.05989475031086
43,"Albowiem usłyszawszy o nim niewiasta, której córeczka miała ducha nieczystego, przyszła i przypadła do nóg jego,",51.77285801831715
44,Liczymy karty przy stoliku do blackjacka i przechylimy szalę na naszą korzyść.,159.89536527083663
45,Przestałem liczyć.,641.037244352225
46,Mógłbym spróbować cię zanalizować i znaleźć sedno twojego strachu.,403.76866170964286
47,Padam z nóg.,87.07731465064468
48,- Też mamy iść?,895.6427512527
49,Żeby zrobić to.,104.42443774185746
50,Poręcze i podjazdy dla fanów bezpieczeństwa.,363.3562779342246
51,W mojej szkole też.,140.08265045319945
52,Ale... otrząśnij się.,51.836577888461655
53,Coś tu ekstra dla was mam,545.843032201013
54,- I czapkę do kompletu.,849.5733542212865
55,"Hawk-2, przerwij misję i wróć do bazy.",60.75232326620075
56,"Chciałem otworzyć te drzwi, ale... dookoła nich widać lasery.",124.78133450266873
57,Jestem w wielkim domu z jakąś twoją przyjaciółką.,85.25626002106381
58,Jak też pewnego dnia umrę.,210.99879382534908
59,"Warto go mieć, skoro to atrapa?",187.96022539198447
60,"Ale wiedział, że praca może dać utrzymanie, lecz nie życie.",219.09196169130826
61,Pieprzone poniedziałki.,180.70916642914978
62,Masz... masz depresję.,526.5058966784861
63,Jakim przyjacielem?,88.9747212720412
64,Czemu się na to zgodziłam?,12.266961712180699
65,Czemu moja wina?,69.07703558877922
66,Miłego spaceru!,81.155810044504
67,Jednak ostrzegam.,349.4104917238774
68,Znalazłem recenzję.,33.675420764694195
69,"Tego lata, gdy urządzisz rodzinnego grilla, tylko jeden sos nada mu słodyczy i pikantyczy, które wszyscy kochają.",380.5868055658963
70,Pomoc dotycząca Automake i stałych zbiorów klas,1380.3298116282626
71,- Za zabijanie.,7430.469929132905
72,To nie może być prawda.,9.034001879244315
73,Ruszamy.,71.49718574275096
74,Jeden z tych kojotów... kochał się z moją czaszką.,68.68889593429788
75,Prawda?,27.026542764694074
76,"Bracia! jać o sobie nie rozumiem, żebym już uchwycił.",199.1744094051186
77,"Wiem, jak to jest być niewidzialnym.",7.46025023212113
78,NAJLEPSI GRACZE MENADŻER AKWARIUM,482.5441311239881
79,Podróżujący ludzie mają szerszą perspektywę.,323.34115753862955
80,Nie musi być w słowniku!,85.60867856000951
81,Francis Bacon (filozof),220.04639392761192
82,"Tak, a co z nim?",7.504400473225614
83,Nie mogę wrzucić nic na Insta bez wkurzenia kogoś.,504.4897178171383
