,Sentences,Epoch-10
0,"Mein Güte, heute ist jeder in Form.",0.4418178361934773
1,-Ich weiß.,0.22242016363156503
2,"Es sind die 30 Unternehmer unter 30, die coole, trendige Sachen machen.",0.3059858819034643
3,Scheiße! Wieso hast du mich nicht gefragt?,0.6379166666666667
4,Es waren nur echt gute Lügen.,0.36789008824923003
5,Übermütig geworden?,0.06970822022860343
6,Vielleicht sollten Sie es ihr sagen.,0.5336700336700336
7,"Eichhörnchen, Eichhörnchen, wo, zum Teufel, sind nur Ihre Nüsse?",0.3110943466340648
8,"""BEISS IN EINE LEGENDE"" Dad, das Restaurant hat keine Sterne auf Yelp.",0.11701389244346534
9,Ihr könnt nicht einfach weggehen.,0.5153623188405797
10,"Er zog zum Korb, und der Schiedsrichter pfiff Foul, und Magic warf den Ball hoch an die Decke und schrie:",0.27270658668319164
11,"Nach unserem Gespräch habe ich diesen Idioten Steve aufgesucht, ihn zur Minna gemacht und ihm eine reingehauen, für das, was er war.",0.3185312513410487
12,"Sekunde, ich werde nur kurz... Sekunde, ich werde nur kurz...",0.3405856063505839
13,"Ja? Ist mir scheißegal,... falls er versucht hätte, seine Eier zusammenzuschmelzen.",0.21489409463455184
14,Wir waren fünf.,0.3779498525073746
15,-Ich melde mich.,0.5019732735752553
16,Und du hast mich lügen lassen?,0.6111709125702668
17,So war das nicht abgemacht.,0.5487179487179488
18,"Als ich das sagte, rannte sie weg.",0.5832040754257908
19,"Wenn dich das überrascht, versuch es hiermit.",0.38936005512578803
20,Ich hörte viel über Sie.,0.47370370370370374
21,"Und von seinem Willen hängt auch ab, wer es gewinnt.",0.1714282799131284
22,Hass belastet.,0.50003287743293
23,"Wir müssen den Mangel an Möglichkeiten, an Arbeitsplätzen bekämpfen, wir müssen für das Gesundheitswesen und die Bildung kämpfen.",0.3334901855915084
24,Es kann Nachrichten senden und hat eine Bankapp.,0.15118676027687872
25,Ich habe sie schon mal benutzt.,0.4760942760942761
26,Ohne deine Quelle liest sich das wie beliebige Morde.,0.1263890118295316
27,Die große.,0.009623392245766632
28,Du bist authentisch.,0.5002156101768004
29,"An einen Schreibtisch, da gehör ich hin.",0.44118960695614057
30,Es ist nur ein Spiel!,0.6900000000000001
31,Er brüstet sich mit 95 % Verurteilungen.,0.4052587532829044
32,Wie sagt man?,0.5033670033670034
33,- Gar nichts! Alles ist bestens!,0.12907778471015127
34,"Sie haben ihre Leben dem Silo gewidmet, wie wir alle es jeden Tag tun.",0.3792346778874783
35,Hey! Wo ist meine Frau?,0.45265151515151514
36,Da kommt mein liebster FBI-Agent.,0.44472886582061133
37,Das geht nur bis neun.,0.26474803244273043
38,Und wenn sie wegen eines Risses im Kleid starrten?,0.2775396953002076
39,Die Ergebnisse sind unverändert.,0.5027997364953887
40,Wir müssen zur Baumgrenze.,0.3199381664200806
41,Ich bin so glücklich.,0.6333333333333333
42,Kommt dafür zurück.,0.1934981684981685
43,"Denn ein Weib hatte von ihm gehört, deren Töchterlein einen unsauberen Geist hatte, und sie kam und fiel nieder zu seinen Füßen",0.42544796733378787
44,Wir sind Kartenzähler am Blackjack-Tisch. Wir spielen gegen den Trend.,0.3295581887448868
45,Wer kann da noch mitzählen?,0.23913526570048313
46,"Ich dachte, ich könne versuchen, dich zu analysi- eren und zu den Wurzeln deiner Angst zu gelangen.",0.3474552559122474
47,Ich bin müde.,0.6749999999999999
48,-Sollen wir mitkommen?,0.5019718326227891
49,Um das zu tun.,0.5833333333333333
50,Viele Geländer und Rampen. Falls Sicherheit euer Ding ist.,0.22253420849870312
51,Alle vom Internat haben auch Jobs.,0.19891322227681052
52,Aber... schüttle es einfach ab.,0.3623865915050552
